year,Chile,Costa Rica,Ecuador,Ethiopia,Rwanda,South Africa,Spain,United Arab Emirates
1975,23.89933,44.85998,17.16227,16.1445,28.37001,20.67205,27.70186,8.10289
1976,23.89933,45.59295,17.16227,16.1445,28.37001,20.67205,28.55256,8.10289
1977,26.54118,45.59295,17.16227,16.1445,28.37001,20.67205,37.80707,8.78417
1978,26.54118,46.00768,17.16227,16.1445,28.37001,20.67205,47.83599,8.78417
1979,26.54118,47.25957,27.86807,16.1445,28.78056,20.67205,48.59532,8.78417
1980,28.60373,49.77125,34.24283,22.09488,32.61703,20.87305,54.66332,15.65789
1981,28.60373,51.3484,33.36631,22.56695,33.815,17.23238,56.33361,12.74978
1982,32.28648,51.84788,33.55444,22.56695,33.815,17.23238,57.68762,14.87041
1983,32.28648,52.11541,33.55444,22.56695,35.01339,17.23238,59.86978,14.87041
1984,32.28648,51.60935,34.39916,18.10107,35.01339,23.18073,57.68762,15.2535
1985,32.50241,51.60935,34.39916,22.56695,35.01339,22.94166,58.00589,17.08051
1986,32.50241,53.61441,33.82553,18.10107,35.2643,22.94166,63.13492,17.08051
1987,32.50241,58.43839,33.82553,24.29738,35.2643,23.06579,63.13492,15.4384
1988,32.50241,60.30543,34.66367,21.59614,35.4492,25.10128,63.40818,17.27457
1989,30.82801,61.06731,34.66367,21.59614,35.4492,24.72607,64.23144,17.42973
1990,46.03726,66.002,40.03323,21.59614,38.10801,27.35977,66.9518,20.07061
1991,46.03726,67.4934,41.51716,27.06277,38.10801,27.47748,68.59213,20.23043
1992,46.6087,67.4934,41.2848,27.91284,38.60627,27.47748,68.86188,20.23043
1993,44.67074,67.4934,39.80703,28.3472,37.92499,28.48657,67.23185,20.36234
1994,46.89759,65.87116,37.59367,29.55574,37.48599,54.20777,69.15312,20.47081
1995,46.89759,67.69005,37.77064,33.04204,44.70514,61.04146,69.15312,22.31569
1996,46.63382,67.69005,40.95523,30.74226,44.70514,66.08528,70.18781,23.94421
1997,47.43646,67.69005,40.95523,30.74226,48.92733,64.16431,70.18781,24.12439
1998,47.43646,69.68134,46.372,30.74226,50.91714,64.16431,70.51954,25.96072
1999,47.43646,68.42542,46.372,31.20186,51.11082,65.05639,70.51954,26.02244
2000,59.0977,77.04356,50.66845,32.98718,57.90926,66.99215,75.02187,27.55738
2001,59.28201,77.04356,50.66845,33.39893,59.20919,67.11397,75.02187,31.20386
2002,59.28201,81.01097,50.50064,33.39893,59.20919,67.11397,75.43023,28.90206
2003,59.28201,81.01097,50.50064,33.39893,63.17349,62.52846,76.14994,28.90206
2004,59.28201,81.01097,50.50064,33.39893,66.52329,63.35562,81.65872,30.1677
2005,61.27421,82.73381,50.50064,34.75685,66.52329,65.26356,83.71862,34.69998
2006,61.27421,83.62263,51.11632,34.75685,64.75647,65.26356,83.71862,32.7752
2007,61.71719,81.17689,54.60429,32.33009,67.66041,65.26356,83.71862,37.13873
2008,61.71719,81.17689,58.14941,30.89364,66.07653,65.26356,83.71862,39.99216
2009,61.07041,81.17689,58.47877,32.33009,65.97948,65.65041,83.71862,39.99216
2010,61.07041,83.62263,59.77678,32.45565,67.14752,65.65041,83.71862,41.61527
2011,61.07041,83.62263,59.77678,32.45565,67.14752,65.65041,83.71862,41.31173
2012,61.07041,83.62263,60.02754,30.21136,67.14752,65.65041,83.71862,41.92653
2013,61.53642,83.62263,59.61727,32.88982,67.14752,62.34065,83.71862,41.92653
2014,64.51608,83.10189,59.61727,32.88982,68.90993,62.72931,84.37282,41.92653
2015,63.59402,80.43053,59.61727,32.97467,67.14752,62.72931,84.37282,44.53648
2016,59.7948,80.43053,59.35259,29.43171,68.90993,62.81946,82.88039,36.87133
2017,61.40729,80.43053,60.29529,32.97467,67.14752,62.72931,87.98655,40.62552
2018,60.6118,81.0464,60.29529,33.65336,68.29261,62.72931,91.6607,40.62552
2019,61.40729,81.0464,59.03006,33.76416,63.87325,63.55771,91.6607,41.08089
2020,62.78346,81.0464,60.29529,53.05844,66.27283,61.06324,92.7933,43.56757
2021,61.78291,84.17496,59.03904,53.82225,66.97219,61.06324,86.14865,45.866
