year,Belgium,Denmark,Latvia,Norway,Sweden
1975,62.74594,82.89809,,82.72592,73.44587
1976,62.74594,82.89809,,88.50822,73.44587
1977,62.74594,83.0841,,89.7264,77.52007
1978,62.74594,88.8593,,89.7264,77.52007
1979,62.74594,90.07728,,89.7264,81.02025
1980,69.25525,90.07728,,89.87786,81.4145
1981,69.65871,87.39774,,87.21406,80.50259
1982,70.32313,89.61195,,87.21406,80.50259
1983,70.32313,87.63305,,87.21406,80.50259
1984,70.32313,87.63305,,87.21406,80.50259
1985,70.43217,87.63305,,91.92799,82.84156
1986,70.74744,87.63305,,91.92799,84.15753
1987,68.07697,88.45271,,91.92799,85.38249
1988,68.07697,91.58066,,91.92799,87.70585
1989,68.07697,91.58066,,91.92799,93.55081
1990,81.08684,92.44979,,92.1502,90.57767
1991,83.0195,92.44979,71.78829,92.1502,89.57718
1992,81.30283,92.44979,76.44246,92.1502,89.57718
1993,81.30283,92.44979,76.54988,93.90489,89.57718
1994,81.30283,92.44979,76.54988,93.90489,90.57767
1995,81.59398,92.44979,76.05498,93.90489,90.57767
1996,81.84836,92.44979,74.40696,93.90489,91.11418
1997,81.84836,92.44979,74.40696,92.44979,93.55081
1998,81.84836,94.35783,75.17134,92.86771,93.55081
1999,82.95465,94.35783,75.17134,92.86771,93.55081
2000,83.24345,94.35783,77.47911,92.86771,93.55081
2001,83.24345,94.35783,77.47911,92.86771,93.55081
2002,83.24345,94.35783,79.42781,92.86771,93.55081
2003,88.51281,94.35783,80.83793,92.86771,93.55081
2004,88.8787,97.87998,81.33811,93.47372,93.55081
2005,88.8787,92.86771,79.69783,98.66008,93.55081
2006,87.01863,91.15428,79.39853,98.66008,93.55081
2007,87.01863,94.35783,83.22038,96.49509,93.55081
2008,86.05178,97.87998,81.73158,98.66008,93.55081
2009,88.31982,97.87998,83.46387,98.66008,93.55081
2010,88.31982,97.87998,81.73158,98.66008,93.55081
2011,88.31982,97.87998,81.99839,98.66008,91.90307
2012,88.31982,97.87998,85.75429,98.66008,91.90307
2013,92.78343,97.87998,86.50958,98.66008,91.90307
2014,90.43294,97.87998,83.70122,98.66008,91.90307
2015,92.78343,97.87998,83.70122,98.66008,91.90307
2016,92.78343,97.87998,89.7658,96.10848,91.90307
2017,92.78343,97.87998,82.00563,94.19355,89.05231
2018,100.0,97.87998,83.43634,100.0,91.75173
2019,91.15146,97.87998,83.43634,100.0,92.26834
2020,87.15918,97.87998,87.24404,100.0,92.26834
2021,87.15918,97.87998,89.03117,100.0,92.26834
